query_id,participant_id,source_excel_row,prompt_group,query_raw,self_reported_title,query_clean,cleanup_actions,content_review_status,candidate_movie_id,target_status,duplicate_cluster,screening_flags,final_eligibility,eligibility_reason,split
P001_G1,P001,2,1,Don’t leave me murph,Interstellar,Don’t leave me murph,,pending_human_verification,M_e513ad04054e,unverified,,short_query_review_only,,,
P001_G2,P001,2,2,Dad character do anything to get out 4D dimension,Interstellar,Dad character do anything to get out 4D dimension,,pending_human_verification,M_e513ad04054e,unverified,,,,,
P001_G3,P001,2,3,"The tsunami, Deep-Blue, Infinity sea",Interstellar,"The tsunami, Deep-Blue, Infinity sea",,pending_human_verification,M_e513ad04054e,unverified,,,,,
P002_G1,P002,3,1,i’m afraid of the dark,The Green Mile,i’m afraid of the dark,,pending_human_verification,M_d234400ca22b,unverified,,,,,
P002_G2,P002,3,2,"A innocent prisoner with power that can make anything’s hurt, sick or smth made them him",The Green Mile,"A innocent prisoner with power that can make anything’s hurt, sick or smth made them him",,pending_human_verification,M_d234400ca22b,unverified,,,,,
P002_G3,P002,3,3,"Night, Prison",The Green Mile,"Night, Prison",,pending_human_verification,M_d234400ca22b,unverified,,short_query_review_only,,,
P003_G1,P003,4,1,"Gentleman, that's a very sad thing to be nothing",12 Angry Men,"Gentleman, that's a very sad thing to be nothing",,pending_human_verification,M_3ab866882388,unverified,,,,,
P003_G2,P003,4,2,Twelve men gather to decide the fate of a boy which believed to be the victim.,12 Angry Men,Twelve men gather to decide the fate of a boy which believed to be the victim.,,pending_human_verification,M_3ab866882388,unverified,,,,,
P003_G3,P003,4,3,Jurror 8 shocks the room by stabbing an identical switchblade into the table.,12 Angry Men,Jurror 8 shocks the room by stabbing an identical switchblade into the table.,,pending_human_verification,M_3ab866882388,unverified,,,,,
P004_G1,P004,5,1,"If you run, the beast catches you; if you stay, the beast eats you.",City Of God,"If you run, the beast catches you; if you stay, the beast eats you.",,pending_human_verification,M_32e351738d20,unverified,DUP001,,,,
P004_G2,P004,5,2,A young photographer uses his camera lens to escape the violent rise of a ruthless drug lord and the decade-spanning gang wars consuming Rio's favelas.,City Of God,A young photographer uses his camera lens to escape the violent rise of a ruthless drug lord and the decade-spanning gang wars consuming Rio's favelas.,,pending_human_verification,M_32e351738d20,unverified,,,,,
P004_G3,P004,5,3,"A chicken frantically dodges captors through narrow, dust-choked alleys of a sun-bleached orange favela, where a loaded gun barrel points directly into a camera lens.",City Of God,"A chicken frantically dodges captors through narrow, dust-choked alleys of a sun-bleached orange favela, where a loaded gun barrel points directly into a camera lens.",,pending_human_verification,M_32e351738d20,unverified,,,,,
P005_G1,P005,6,1,I just wanted you to fight for me! That's all I ever wanted!,Real Steel,I just wanted you to fight for me! That's all I ever wanted!,,pending_human_verification,M_710e125531c3,unverified,,,,,
P005_G2,P005,6,2,A washed-up former boxer and his estranged son rebuild an obsolete sparring bot into a championship boxing contender.,Real Steel,A washed-up former boxer and his estranged son rebuild an obsolete sparring bot into a championship boxing contender.,,pending_human_verification,M_710e125531c3,unverified,,,,,
P005_G3,P005,6,3,"A boy pulls a glowing, mud-covered robot out of scrap metal on a rainy night.",Real Steel,"A boy pulls a glowing, mud-covered robot out of scrap metal on a rainy night.",,pending_human_verification,M_710e125531c3,unverified,,,,,
P006_G1,P006,7,1,We were born into a world at war. Between the monsters that destroyed our cities and the monsters we created to stop them,Pacific Rim: Uprising,We were born into a world at war. Between the monsters that destroyed our cities and the monsters we created to stop them,,pending_human_verification,M_4d03c10f862a,unverified,,,,,
P006_G2,P006,7,2,A group of young pilots pilot giant fighting robots to battle a new alien monster threat destroying cities across the world.,Pacific Rim: Uprising,A group of young pilots pilot giant fighting robots to battle a new alien monster threat destroying cities across the world.,,pending_human_verification,M_4d03c10f862a,unverified,,,,,
P006_G3,P006,7,3,a giant robot is fighting with a monster,Pacific Rim: Uprising,a giant robot is fighting with a monster,,pending_human_verification,M_4d03c10f862a,unverified,,,,,
P007_G1,P007,8,1,"you mustn't be afraid to dream a little bigger, darling.",Inception,"you mustn't be afraid to dream a little bigger, darling.",,pending_human_verification,M_16fdfdc5ebe4,unverified,DUP002,,,,
P007_G2,P007,8,2,A team of dream thieves enters targets' minds through layered shared dreams to plant an idea instead of stealing one.,Inception,A team of dream thieves enters targets' minds through layered shared dreams to plant an idea instead of stealing one.,,pending_human_verification,M_16fdfdc5ebe4,unverified,,,,,
P007_G3,P007,8,3,A small metal spinning top twirls endlessly on a wooden table without wobbling.,Inception,A small metal spinning top twirls endlessly on a wooden table without wobbling.,,pending_human_verification,M_16fdfdc5ebe4,unverified,,,,,
P008_G1,P008,9,1,You know what kind of plan never fails? No plan at all.,Parasite,You know what kind of plan never fails? No plan at all.,,pending_human_verification,M_67f2ddb503c9,unverified,,,,,
P008_G2,P008,9,2,"A destitute family deceptively infiltrates a wealthy household by posing as qualified workers, leading to unexpected chaos.",Parasite,"A destitute family deceptively infiltrates a wealthy household by posing as qualified workers, leading to unexpected chaos.",,pending_human_verification,M_67f2ddb503c9,unverified,,,,,
P008_G3,P008,9,3,"Three soaked figures rush down a never-ending staircase in the pouring rain, descending from the rich neighborhood to the slums.",Parasite,"Three soaked figures rush down a never-ending staircase in the pouring rain, descending from the rich neighborhood to the slums.",,pending_human_verification,M_67f2ddb503c9,unverified,,,,,
P009_G1,P009,10,1,I'm gonna make him an offer he can't refuse.,The Godfather,I'm gonna make him an offer he can't refuse.,,pending_human_verification,M_77d9cf161b98,unverified,DUP003,,,,
P009_G2,P009,10,2,The reluctant youngest son of a powerful mafia family gets drawn into the underworld and evolves into a ruthless mob boss after his father is targeted.,The Godfather,The reluctant youngest son of a powerful mafia family gets drawn into the underworld and evolves into a ruthless mob boss after his father is targeted.,,pending_human_verification,M_77d9cf161b98,unverified,,,,,
P009_G3,P009,10,3,an olde man with a black vest is smoking sigar,The Godfather,an olde man with a black vest is smoking sigar,,pending_human_verification,M_77d9cf161b98,unverified,,,,,
P010_G1,P010,11,1,"There is light, and there is ash.",Avatar: Fire and Ash,"There is light, and there is ash.",,pending_human_verification,M_6006905c6270,unverified,,,,,
P010_G2,P010,11,2,"An alien family faces a brutal, fire-worshipping native clan while continuing their fight against human colonizers on an exotic moon.",Avatar: Fire and Ash,"An alien family faces a brutal, fire-worshipping native clan while continuing their fight against human colonizers on an exotic moon.",,pending_human_verification,M_6006905c6270,unverified,,,,,
P010_G3,P010,11,3,"sh-covered, blue-skinned warriors brandish weapons around glowing red lava rivers beneath a sky filled with volcanic smoke.",Avatar: Fire and Ash,"sh-covered, blue-skinned warriors brandish weapons around glowing red lava rivers beneath a sky filled with volcanic smoke.",,pending_human_verification,M_6006905c6270,unverified,,,,,
P011_G1,P011,12,1,"You either die a hero, or you live long enough to see yourself become the villain.",The Dark Knight,"You either die a hero, or you live long enough to see yourself become the villain.",,pending_human_verification,M_2acb1196a991,unverified,,,,,
P011_G2,P011,12,2,A masked vigilante battles a psychopathic clown mastermind who plunges a corrupt city into absolute moral and physical chaos.,The Dark Knight,A masked vigilante battles a psychopathic clown mastermind who plunges a corrupt city into absolute moral and physical chaos.,,pending_human_verification,M_2acb1196a991,unverified,,,,,
P011_G3,P011,12,3,"A caped figure stands brooding on the ledge of a dark skyscraper looking over a sprawling, rainy metropolis at night.",The Dark Knight,"A caped figure stands brooding on the ledge of a dark skyscraper looking over a sprawling, rainy metropolis at night.",,pending_human_verification,M_2acb1196a991,unverified,,,,,
P012_G1,P012,13,1,Hakuna Matata,The Lion King,Hakuna Matata,,pending_human_verification,M_3f5c95a88181,unverified,,short_query_review_only,,,
P012_G2,P012,13,2,"A young lion runs away after his evil uncle kills his father. When he grows up, he comes back to fight the uncle and become king",The Lion King,"A young lion runs away after his evil uncle kills his father. When he grows up, he comes back to fight the uncle and become king",,pending_human_verification,M_3f5c95a88181,unverified,,,,,
P012_G3,P012,13,3,"An old monkey lifting a baby lion on a high cliff under a red sunrise, with all animals bowing below",The Lion King,"An old monkey lifting a baby lion on a high cliff under a red sunrise, with all animals bowing below",,pending_human_verification,M_3f5c95a88181,unverified,,,,,
P013_G1,P013,14,1,"Unfortunately, no one can be told what the Matrix is. You have to see it for yourself.",The Matrix,"Unfortunately, no one can be told what the Matrix is. You have to see it for yourself.",,pending_human_verification,M_603c8ea52814,unverified,,explicit_target_title,,,
P013_G2,P013,14,2,A computer programmer discovers humanity is trapped inside a simulated reality controlled by machines and joins a rebellion to free mankind.,The Matrix,A computer programmer discovers humanity is trapped inside a simulated reality controlled by machines and joins a rebellion to free mankind.,,pending_human_verification,M_603c8ea52814,unverified,,,,,
P013_G3,P013,14,3,"A red pill and a blue pill rest on two open palms, reflecting clearly in the rimless dark sunglasses of an enigmatic man.",The Matrix,"A red pill and a blue pill rest on two open palms, reflecting clearly in the rimless dark sunglasses of an enigmatic man.",,pending_human_verification,M_603c8ea52814,unverified,,,,,
P014_G1,P014,15,1,"Here’s looking at you, kid.",Casablanca,"Here’s looking at you, kid.",,pending_human_verification,M_3660318ecc14,unverified,,,,,
P014_G2,P014,15,2,A nightclub owner is reunited with a former lover who needs his help to escape the city with her husband.,Casablanca,A nightclub owner is reunited with a former lover who needs his help to escape the city with her husband.,,pending_human_verification,M_3660318ecc14,unverified,,,,,
P014_G3,P014,15,3,"A smoky black-and-white nightclub filled with people, dim lights, elegant suits and a mysterious wartime atmosphere.",Casablanca,"A smoky black-and-white nightclub filled with people, dim lights, elegant suits and a mysterious wartime atmosphere.",,pending_human_verification,M_3660318ecc14,unverified,,,,,
P015_G1,P015,16,1,A boy’s best friend is his mother.,Psycho,A boy’s best friend is his mother.,,pending_human_verification,M_24281f3f73ab,unverified,,,,,
P015_G2,P015,16,2,"A young woman steals money and hides at a remote motel, where strange events happen and a mysterious owner lives with his mother.",Psycho,"A young woman steals money and hides at a remote motel, where strange events happen and a mysterious owner lives with his mother.",,pending_human_verification,M_24281f3f73ab,unverified,,,,,
P015_G3,P015,16,3,"A lonely old house standing on a hill above a dark motel, surrounded by an eerie and gloomy atmosphere.",Psycho,"A lonely old house standing on a hill above a dark motel, surrounded by an eerie and gloomy atmosphere.",,pending_human_verification,M_24281f3f73ab,unverified,,,,,
P016_G1,P016,17,1,I am the Half-Blood Prince.,Harry Potter and the Half-Blood Prince,I am the Half-Blood Prince.,,pending_human_verification,M_e5e13e51db56,unverified,,,,,
P016_G2,P016,17,2,A young wizard discovers an old textbook with mysterious notes while his school prepares for a dangerous battle against a dark enemy.,Harry Potter and the Half-Blood Prince,A young wizard discovers an old textbook with mysterious notes while his school prepares for a dangerous battle against a dark enemy.,,pending_human_verification,M_e5e13e51db56,unverified,,,,,
P016_G3,P016,17,3,"A dark magical castle surrounded by mist, with students walking through candlelit stone corridors at night.",Harry Potter and the Half-Blood Prince,"A dark magical castle surrounded by mist, with students walking through candlelit stone corridors at night.",,pending_human_verification,M_e5e13e51db56,unverified,,,,,
P017_G1,P017,18,1,I hope to see my friend and shake his hand. I hope.,The Shawshank Redemption,I hope to see my friend and shake his hand. I hope.,,pending_human_verification,M_89f662021395,unverified,,,,,
P017_G2,P017,18,2,"A wrongfully convicted banker survives decades of brutal prison life through patience, hope, and an extraordinary secret escape plan.",The Shawshank Redemption,"A wrongfully convicted banker survives decades of brutal prison life through patience, hope, and an extraordinary secret escape plan.",,pending_human_verification,M_89f662021395,unverified,,,,,
P017_G3,P017,18,3,"A group of exhausted inmates sit resting on a black tar rooftop, sharing cold bottles of beer under the warm afternoon sun.",The Shawshank Redemption,"A group of exhausted inmates sit resting on a black tar rooftop, sharing cold bottles of beer under the warm afternoon sun.",,pending_human_verification,M_89f662021395,unverified,,,,,
P018_G1,P018,19,1,"Frankly, my dear, I don't give a damn",Gone with the Wind,"Frankly, my dear, I don't give a damn",,pending_human_verification,M_8ee2c71d9612,unverified,,,,,
